word,frequency
Lu1,190
Nod,144
男孩,91
哪一天,82
radio,80
Cee,73
beat,72
带你去,70
世界,68
感觉,64
再也不能,60
太多,60
时间,58
Turn,58
真的,57
一步,56
不用,54
yall,54
喜欢,53
下定,47
可爱,44
Don,44
Yeah,42
一点,40
烦恼,39
离开,39
现实,38
有人,37
turn,37
决心,36
抓破,34
空气,32
夜里,32
起舞,32
伸手,31
今晚,30
渐渐,30
地方,30
Dalalala,30
都市,30
摘下,29
love,29
淡淡的,28
怀疑,28
梦想,28
说不出口,28
Radio,28
OKAY,27
告诫,26
母带,26
心情,24
生活,24
回忆,24
beatyall,24
沈立,24
朋友,23
回头,23
感情,23
音乐,23
像是,23
雪花,23
Chorus,23
夜晚,22
feeling,22
孤独,22
地上,22
留下,22
白天,22
baby,22
变得,22
Verse,22
背包客,22
纯正,22
音符,21
第一次,21
情节,21
眼光,21
快乐,21
So,21
韵脚,20
慢慢,20
房间,20
Toby,20
Mak,20
Dizkar,20
孩子,19
经历,19
不亮,19
点路,19
也许,19
翩翩起舞,19
喜辰晨,19
Yesir,19
耳机,18
模糊,18
发现,18
时而,18
领口,18
尘土,18
气流,18
